Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-04-18,403.4,409.55,397.75,406.0,407.75,1792223.0,7275.95
2016-04-13,407.5,410.0,400.55,402.3,401.9,1173446.0,4748.72
2016-04-12,390.75,406.5,390.75,403.7,405.7,1556917.0,6273.64
2016-04-11,389.1,395.8,387.6,394.4,394.65,868551.0,3407.79
2016-04-08,384.35,391.1,382.5,389.7,389.1,948219.0,3672.9
2016-04-07,392.0,392.0,383.1,384.85,384.35,593787.0,2288.58
2016-04-06,385.15,389.9,384.25,389.0,387.95,916721.0,3555.94
2016-04-05,393.8,393.8,382.6,384.0,384.35,1443476.0,5561.49
2016-04-04,387.0,396.25,387.0,393.5,394.75,1433084.0,5630.25
2016-04-01,384.0,389.7,383.1,385.05,386.75,3562491.0,13725.31
2016-03-31,378.2,388.3,372.55,387.1,386.95,3913862.0,14972.74
2016-03-30,384.0,384.0,374.75,376.8,376.55,4315209.0,16265.06
2016-03-29,387.35,388.0,379.15,381.1,381.9,1664535.0,6364.54
2016-03-28,392.0,393.0,385.1,387.0,387.65,2045328.0,7937.08
2016-03-23,390.45,394.75,386.35,387.5,388.5,2149658.0,8379.92
2016-03-22,391.9,395.45,386.5,389.6,390.0,2031111.0,7940.69
2016-03-21,392.8,393.55,385.25,391.0,391.0,1273122.0,4959.3
2016-03-18,390.9,392.85,384.2,390.4,390.65,2219331.0,8626.5
2016-03-17,389.7,392.85,383.6,385.15,387.0,1834984.0,7143.84
2016-03-16,385.2,388.0,380.3,386.75,384.45,2218381.0,8493.31
2016-03-15,399.1,402.25,384.5,384.85,386.3,1649771.0,6420.38
2016-03-14,400.0,407.7,398.0,399.0,400.5,1226585.0,4946.03
2016-03-11,391.6,401.8,390.05,398.9,398.6,1396069.0,5554.65
2016-03-10,396.0,396.9,389.1,390.0,391.75,680460.0,2672.25
2016-03-09,386.0,396.9,385.1,395.05,395.45,1391465.0,5469.11
2016-03-08,395.0,401.05,384.0,387.7,390.7,1300712.0,5120.77
2016-03-04,395.4,399.25,391.55,393.9,396.15,1704396.0,6754.16
2016-03-03,404.45,404.45,387.45,394.0,394.45,1836911.0,7195.24
2016-03-02,397.0,401.0,391.25,398.25,399.25,2729195.0,10820.73
2016-03-01,375.0,393.95,374.15,390.55,391.45,3744149.0,14509.02
2016-02-29,381.2,382.65,364.15,370.9,372.35,2064381.0,7696.58
2016-02-26,385.0,385.95,376.3,382.6,381.1,1266637.0,4817.76
2016-02-25,387.0,389.8,376.15,381.1,379.5,1317234.0,5016.69
2016-02-24,385.0,391.55,378.95,388.5,388.0,996109.0,3840.78
2016-02-23,390.25,394.25,381.7,384.85,387.1,1409276.0,5464.77
2016-02-22,383.85,395.0,383.0,391.5,392.9,1437597.0,5633.27
2016-02-19,372.4,387.5,370.05,384.05,383.85,1358187.0,5194.97
2016-02-18,372.5,383.4,372.4,379.5,381.45,2001163.0,7583.83
2016-02-17,364.5,372.6,350.1,369.95,370.55,2665334.0,9647.68
2016-02-16,382.35,385.0,360.25,361.0,362.55,1703936.0,6344.43
2016-02-15,373.0,385.35,373.0,383.3,383.9,2312852.0,8828.47
2016-02-12,372.1,374.5,361.0,368.0,370.5,2963811.0,10908.58
2016-02-11,379.0,379.0,364.0,369.55,369.35,2504341.0,9322.14
2016-02-10,389.65,389.65,376.25,380.7,379.35,2014216.0,7671.99
2016-02-09,399.0,400.95,388.4,389.1,389.45,2257810.0,8861.15
2016-02-08,406.0,414.3,400.4,401.65,402.6,945374.0,3854.97
2016-02-05,400.0,410.8,392.7,410.7,409.0,2171019.0,8782.0
2016-02-04,410.0,411.8,396.3,398.05,399.3,2081736.0,8462.82
2016-02-03,400.0,412.5,400.0,403.5,404.0,1836644.0,7500.52
2016-02-02,416.0,416.5,400.0,400.0,401.65,997951.0,4054.69
2016-02-01,421.0,422.6,411.1,415.35,416.5,2035568.0,8440.8
2016-01-29,405.15,422.8,404.1,420.0,420.05,2605656.0,10815.16
2016-01-28,394.95,408.5,394.35,407.0,404.6,2784606.0,11268.96
2016-01-27,395.0,399.0,393.2,396.0,396.7,2871738.0,11379.19
2016-01-25,400.0,404.55,390.3,391.6,391.25,1763816.0,7002.76
2016-01-22,388.95,400.7,388.5,393.05,395.4,1608149.0,6361.56
2016-01-21,386.8,397.0,384.3,386.05,385.65,1469042.0,5721.62
2016-01-20,393.1,393.1,374.75,384.8,384.3,2017744.0,7747.62
2016-01-19,394.65,399.5,388.75,394.0,394.3,1175138.0,4640.5
2016-01-18,400.0,401.3,378.1,392.45,393.9,2733395.0,10709.71
2016-01-15,420.4,422.15,396.0,397.0,402.4,5656028.0,23069.22
2016-01-14,412.3,422.0,407.0,415.15,416.05,2107954.0,8751.84
2016-01-13,408.4,416.7,405.7,414.7,414.25,1746239.0,7209.17
2016-01-12,409.35,411.25,404.25,407.4,407.05,1417516.0,5778.69
2016-01-11,405.0,414.2,403.0,409.55,409.6,2618029.0,10731.32
2016-01-08,419.95,419.95,409.35,411.7,411.7,5154901.0,21218.21
2016-01-07,420.05,421.7,413.4,416.6,415.4,1897702.0,7950.9
2016-01-06,424.0,425.9,417.5,422.0,423.15,2048184.0,8636.85
2016-01-05,423.55,430.4,420.9,424.05,425.05,2545828.0,10830.59
2016-01-04,430.0,432.35,420.85,422.3,421.95,1100846.0,4673.01
2016-01-01,437.2,437.2,431.5,433.05,432.9,512541.0,2225.95
2015-12-31,429.0,439.35,425.75,438.2,437.25,3974352.0,17326.9
2015-12-30,416.95,429.8,415.25,428.5,428.2,2196200.0,9324.46
2015-12-29,412.05,417.85,412.05,415.95,416.35,1810627.0,7518.1
2015-12-28,410.7,416.0,409.2,411.8,411.55,777602.0,3217.51
2015-12-24,417.5,418.2,410.1,410.7,410.75,2861942.0,11846.44
2015-12-23,416.8,420.5,414.35,416.8,419.05,1648251.0,6859.72
2015-12-22,415.5,417.9,412.6,413.75,415.4,917169.0,3805.87
2015-12-21,412.1,418.4,412.1,416.0,417.25,1750059.0,7274.97
2015-12-18,415.0,417.1,412.2,415.7,413.55,2949501.0,12225.91
2015-12-17,409.5,416.8,404.05,416.1,415.05,1258859.0,5167.26
2015-12-16,410.0,411.9,407.3,409.0,408.65,878128.0,3597.53
2015-12-15,405.8,412.0,405.8,406.95,408.35,1310961.0,5364.86
2015-12-14,399.0,409.0,395.1,408.45,405.75,922975.0,3723.48
2015-12-11,403.0,404.5,394.85,397.0,397.75,1079115.0,4294.79
2015-12-10,396.1,403.85,387.45,403.0,402.2,1729318.0,6830.14
2015-12-09,400.8,403.25,393.2,396.75,395.95,1325884.0,5281.86
2015-12-08,399.25,405.7,396.8,399.8,400.8,1113890.0,4483.23
2015-12-07,396.55,402.0,395.0,401.0,400.1,1946681.0,7765.74
2015-12-04,407.15,407.8,394.0,395.25,395.65,1739804.0,6916.05
2015-12-03,412.45,415.4,407.7,409.9,409.6,1521090.0,6241.67
2015-12-02,418.65,418.9,412.1,413.05,413.7,3036346.0,12597.26
2015-12-01,409.9,416.45,407.3,415.0,414.45,2216108.0,9157.98
2015-11-30,411.35,416.85,406.35,411.85,408.15,2516202.0,10348.42
2015-11-27,411.0,414.4,406.8,413.9,412.4,1500618.0,6175.37
2015-11-26,398.5,414.5,398.5,409.85,409.0,3022983.0,12412.85
2015-11-24,407.25,409.35,400.0,400.45,401.6,1310215.0,5300.62
2015-11-23,397.5,409.5,396.15,406.0,407.25,2804622.0,11386.77
2015-11-20,392.5,400.45,390.1,396.0,396.3,2503663.0,9921.31
2015-11-19,380.9,392.45,380.0,392.0,391.4,2190565.0,8488.64
2015-11-18,381.3,383.75,378.05,378.4,379.1,2297968.0,8745.35
2015-11-17,383.0,384.3,376.85,380.0,379.9,1814631.0,6906.76
2015-11-16,377.35,382.9,374.55,382.0,379.1,3496301.0,13270.15
2015-11-13,385.9,388.1,375.8,377.45,377.35,4395598.0,16763.04
2015-11-11,393.25,394.5,390.2,392.0,391.65,157244.0,616.13
2015-11-10,387.0,398.35,384.7,387.9,387.2,1872753.0,7375.5
2015-11-09,393.2,393.7,385.85,390.9,390.9,2779743.0,10866.01
2015-11-06,408.75,411.25,394.85,400.0,398.45,2654554.0,10671.78
2015-11-05,414.95,414.95,404.05,407.8,406.05,962740.0,3947.33
2015-11-04,415.2,417.9,412.7,414.1,415.15,2599447.0,10801.91
2015-11-03,414.95,416.45,412.45,414.9,414.9,2732271.0,11336.23
2015-11-02,412.95,415.0,405.0,412.5,412.9,2642350.0,10890.18
2015-10-30,415.7,421.15,406.0,408.5,408.65,2159297.0,8942.01
2015-10-29,421.2,422.95,414.65,415.4,415.7,2916664.0,12186.32
2015-10-28,423.7,427.0,417.75,420.0,420.8,2603192.0,10999.87
2015-10-27,424.0,428.3,421.15,424.65,424.8,2673636.0,11342.47
2015-10-26,437.25,437.25,424.25,425.05,424.95,2370772.0,10143.88
2015-10-23,437.0,438.35,429.8,433.3,432.15,2324249.0,10055.96
2015-10-21,434.05,440.65,432.15,433.7,434.1,2856545.0,12460.08
2015-10-20,429.9,437.05,427.35,435.35,435.65,2265169.0,9804.92
2015-10-19,420.3,432.4,416.35,429.25,430.35,2417911.0,10293.62
2015-10-16,417.75,426.35,414.05,424.0,423.45,3867850.0,16364.35
2015-10-15,390.9,422.75,390.9,417.35,418.75,10395979.0,42728.2
2015-10-14,398.1,401.0,380.6,387.2,386.6,10382179.0,40420.18
2015-10-13,403.0,404.0,397.5,401.0,401.3,805554.0,3233.37
2015-10-12,403.2,405.9,398.35,402.3,401.3,569277.0,2289.91
2015-10-09,403.9,403.9,398.25,401.5,401.45,1368389.0,5490.26
2015-10-08,400.2,403.95,395.3,397.35,397.55,977736.0,3914.97
2015-10-07,399.1,401.0,392.5,397.65,399.4,1217685.0,4826.75
2015-10-06,405.0,405.0,397.5,397.55,399.0,1360555.0,5440.23
2015-10-05,404.8,406.1,400.2,402.9,402.65,1747745.0,7033.01
2015-10-01,392.45,403.0,384.45,401.55,400.6,2231208.0,8777.39
2015-09-30,394.95,396.1,388.3,391.55,392.45,2221047.0,8683.67
2015-09-29,380.0,393.5,377.0,390.65,391.1,1836485.0,7150.5
2015-09-28,397.8,397.8,382.75,383.65,383.65,763642.0,2952.66
2015-09-24,387.35,399.9,384.05,394.0,394.55,1966984.0,7770.9
2015-09-23,383.0,390.2,378.0,387.4,387.35,1410076.0,5410.25
2015-09-22,403.0,403.5,385.55,389.0,389.85,1152813.0,4553.97
2015-09-21,396.7,403.2,395.85,402.5,401.7,900067.0,3601.5
2015-09-18,399.3,406.8,395.35,395.8,398.65,2423414.0,9753.94
2015-09-16,394.45,398.1,394.4,394.4,395.9,1201798.0,4756.62
2015-09-15,396.0,398.0,392.5,393.1,394.0,1425312.0,5633.04
2015-09-14,393.1,396.9,391.75,395.2,395.2,1197568.0,4728.25
2015-09-11,394.0,399.05,388.1,393.0,392.0,2001623.0,7865.92
2015-09-10,382.8,395.4,376.3,392.4,392.1,2049659.0,7961.78
2015-09-09,374.5,386.6,374.4,386.3,385.05,1855339.0,7090.49
2015-09-08,361.15,372.4,357.85,372.0,369.9,1818377.0,6642.3
2015-09-07,360.4,365.65,358.6,360.0,360.4,1509043.0,5453.21
2015-09-04,369.45,374.0,359.65,360.9,360.4,3507953.0,12740.74
2015-09-03,363.8,371.95,360.35,370.45,367.95,1944303.0,7139.73
2015-09-02,373.7,376.85,360.0,363.8,361.0,3146977.0,11566.12
2015-09-01,380.0,381.55,366.0,371.35,371.65,2247154.0,8421.71
2015-08-31,388.0,389.0,379.0,384.8,384.8,2007786.0,7708.66
2015-08-28,377.6,392.9,375.2,387.95,387.8,3144551.0,12199.36
2015-08-27,372.6,375.0,362.7,371.0,371.0,4254812.0,15700.2
2015-08-26,358.55,377.65,358.55,367.2,368.85,3074553.0,11412.52
2015-08-25,365.0,372.05,355.4,371.0,365.45,4419332.0,16089.59
2015-08-24,369.2,373.85,346.7,363.0,358.7,3059361.0,11068.57
2015-08-21,391.0,391.15,377.6,381.6,383.2,3088270.0,11831.11
2015-08-20,405.0,406.45,391.0,395.55,394.5,1721757.0,6820.8
2015-08-19,407.15,408.8,399.0,405.7,405.8,1172957.0,4756.49
2015-08-18,409.3,412.3,404.1,405.05,406.35,1693445.0,6913.28
2015-08-17,415.0,418.15,406.2,408.1,409.1,1124164.0,4616.76
2015-08-14,398.0,421.7,398.0,420.0,419.8,1674969.0,6917.63
2015-08-13,401.6,411.0,399.0,402.3,400.8,1447259.0,5844.6
2015-08-12,413.0,418.75,399.65,400.0,401.6,1356894.0,5551.96
2015-08-11,409.0,418.2,409.0,416.0,414.8,982625.0,4055.95
2015-08-10,410.0,415.35,405.8,409.2,409.6,882985.0,3635.34
2015-08-07,415.25,417.7,406.8,411.0,410.4,1647443.0,6781.32
2015-08-06,414.5,416.0,407.7,415.75,415.05,1906686.0,7871.83
2015-08-05,408.4,416.85,406.5,413.6,414.5,3415385.0,14079.43
2015-08-04,403.0,405.3,399.05,404.0,403.2,2609875.0,10515.62
2015-08-03,398.85,402.2,396.5,398.8,398.7,667286.0,2662.77
2015-07-31,401.0,402.3,394.5,400.0,398.8,1641685.0,6554.67
2015-07-30,404.45,404.45,395.5,398.7,399.7,3066839.0,12281.28
2015-07-29,393.7,401.75,392.5,400.2,400.5,1611745.0,6413.85
2015-07-28,392.8,400.6,388.9,393.7,392.1,2306518.0,9135.85
2015-07-27,394.0,400.1,389.85,393.5,393.0,1457508.0,5749.84
2015-07-24,398.9,402.8,388.0,393.3,391.05,2368111.0,9359.55
2015-07-23,409.0,409.3,393.65,395.35,395.25,2771748.0,11067.79
2015-07-22,387.0,408.2,387.0,407.4,407.25,3606087.0,14467.3
2015-07-21,377.3,389.0,377.3,387.0,387.2,3689418.0,14252.21
2015-07-20,376.5,381.4,370.8,377.25,378.65,1653937.0,6202.49
2015-07-17,384.25,385.0,373.75,377.6,377.3,1389759.0,5259.11
2015-07-16,379.45,382.95,376.05,381.55,382.2,1989486.0,7562.59
2015-07-15,375.65,385.9,373.25,376.0,375.6,5729299.0,21724.23
2015-07-14,374.95,375.5,367.25,374.15,374.5,1475541.0,5491.13
2015-07-13,364.7,380.0,360.4,373.8,373.75,1779739.0,6615.45
2015-07-10,351.8,364.0,351.8,361.0,361.15,1772441.0,6383.66
2015-07-09,358.55,358.55,350.0,352.95,353.0,1249057.0,4402.13
2015-07-08,365.0,368.0,354.35,356.0,355.85,2585634.0,9286.73
2015-07-07,373.05,374.8,365.1,368.15,367.6,2027667.0,7487.85
2015-07-06,367.0,374.65,366.65,374.5,373.7,2028822.0,7535.86
2015-07-03,368.0,370.8,367.2,370.2,369.4,771577.0,2848.87
2015-07-02,363.85,371.4,363.8,368.05,369.1,1783180.0,6564.94
2015-07-01,367.9,368.95,362.05,364.5,363.8,1675326.0,6103.63
2015-06-30,354.6,369.4,354.6,369.4,367.9,3053780.0,11145.98
2015-06-29,346.0,357.75,346.0,355.0,356.15,1214425.0,4285.82
2015-06-26,358.0,360.9,354.0,358.55,359.25,1129200.0,4045.25
2015-06-25,355.0,362.25,352.0,359.85,358.55,2412267.0,8607.16
2015-06-24,345.9,358.95,344.7,357.0,355.2,3883808.0,13744.55
2015-06-23,345.35,347.2,338.85,344.5,345.55,1240791.0,4250.73
2015-06-22,343.6,346.95,338.8,344.55,345.35,939170.0,3235.78
2015-06-19,347.8,349.25,339.0,340.45,340.1,1234574.0,4224.69
2015-06-18,348.65,353.75,345.25,345.25,347.0,1354886.0,4721.43
2015-06-17,346.8,352.75,341.55,351.0,351.1,2795132.0,9714.31
2015-06-16,338.25,347.0,334.6,345.8,345.0,2013937.0,6879.44
2015-06-15,334.0,340.0,331.25,339.0,339.25,1515607.0,5125.71
2015-06-12,335.75,336.1,330.65,335.6,333.7,779489.0,2599.94
2015-06-11,337.95,340.1,330.2,334.55,332.95,1750395.0,5877.4
2015-06-10,330.0,336.9,326.5,335.15,334.4,1276379.0,4245.46
2015-06-09,332.0,334.95,325.0,327.8,327.9,1314735.0,4321.47
2015-06-08,338.0,341.9,331.3,331.5,332.0,3114153.0,10517.1
2015-06-05,324.0,338.0,320.7,335.2,336.6,3111895.0,10361.73
2015-06-04,323.0,327.6,320.0,325.8,325.35,1813821.0,5877.09
2015-06-03,328.9,332.45,318.0,322.6,323.0,2959167.0,9602.09
2015-06-02,318.65,330.0,318.65,328.5,327.45,3331117.0,10881.87
2015-06-01,323.0,323.5,319.0,320.55,320.25,2099359.0,6732.17
2015-05-29,320.6,326.0,318.05,323.6,323.75,5514743.0,17785.58
2015-05-28,322.4,322.4,317.45,317.85,318.15,5902924.0,18832.16
2015-05-27,318.0,322.25,316.15,320.1,320.0,2641075.0,8456.45
2015-05-26,320.3,320.95,316.25,319.3,319.3,1601229.0,5103.35
2015-05-25,318.9,321.5,315.2,319.9,320.05,1695374.0,5419.59
2015-05-22,319.9,322.65,317.1,319.1,319.45,5925105.0,18984.55
2015-05-21,317.95,323.5,312.05,316.05,317.3,11374396.0,36233.51
2015-05-20,317.95,320.25,313.6,319.0,318.4,1876828.0,5974.44
2015-05-19,312.9,320.2,312.15,316.1,316.0,4224236.0,13400.38
2015-05-18,301.15,314.1,300.0,312.35,311.5,25433973.0,77034.23
2015-05-15,306.15,306.15,299.5,302.0,301.05,5740256.0,17274.36
2015-05-14,305.0,306.05,301.0,304.8,303.5,2617897.0,7931.01
2015-05-13,312.0,312.0,301.5,305.0,305.2,6371228.0,19449.97
2015-05-12,318.6,318.6,304.9,307.2,308.5,1752599.0,5421.28
2015-05-11,310.1,319.4,310.1,316.95,317.7,2748369.0,8711.07
2015-05-08,312.25,314.65,308.1,308.1,309.45,775962.0,2415.7
2015-05-07,310.35,312.4,308.0,309.1,310.0,1461410.0,4521.62
2015-05-06,315.0,315.0,307.5,313.5,312.5,1863912.0,5798.36
2015-05-05,319.5,321.45,312.8,315.85,315.6,1990382.0,6286.64
2015-05-04,314.0,321.9,313.95,321.0,320.95,1230226.0,3929.83
2015-04-30,317.9,319.0,311.0,313.0,312.05,2932598.0,9196.11
2015-04-29,319.1,324.5,319.0,322.0,320.75,1660071.0,5344.51
2015-04-28,322.0,323.45,315.25,320.05,320.8,1424585.0,4558.16
2015-04-27,321.2,325.3,319.4,324.5,324.25,1785522.0,5788.22
2015-04-24,328.9,331.4,319.05,319.5,320.8,2149560.0,6911.94
2015-04-23,322.45,330.65,322.0,328.45,328.9,1577106.0,5168.26
2015-04-22,326.5,330.25,313.4,321.2,322.85,3683272.0,11782.61
2015-04-21,327.9,333.5,325.0,325.75,325.75,5400459.0,17602.42
2015-04-20,337.25,337.5,325.05,330.0,327.8,2855013.0,9422.55
2015-04-17,338.05,339.85,333.55,337.65,336.55,1942843.0,6526.14
2015-04-16,343.75,343.75,335.2,340.4,340.15,1332867.0,4520.14
2015-04-15,344.3,350.9,342.5,343.35,343.75,1392928.0,4815.02
2015-04-13,350.4,350.4,342.95,346.5,346.75,1800659.0,6224.59
2015-04-10,356.5,356.8,345.0,348.2,347.15,1452993.0,5075.61
2015-04-09,343.0,358.1,342.0,355.65,357.1,2486300.0,8751.13
2015-04-08,336.45,342.25,336.45,341.25,340.4,2381333.0,8094.62
2015-04-07,339.95,339.95,333.1,335.15,336.4,2070220.0,6949.21
2015-04-06,343.85,344.85,336.6,338.45,338.2,1119526.0,3794.24
2015-04-01,341.6,344.25,339.6,340.95,340.85,2323793.0,7919.26
2015-03-31,344.0,344.0,336.65,341.6,341.75,1272398.0,4329.98
2015-03-30,338.8,344.75,336.7,344.0,342.35,1415013.0,4816.55
2015-03-27,341.25,342.0,331.0,338.0,337.5,3034191.0,10128.84
2015-03-26,347.5,352.3,337.1,340.5,339.3,2189957.0,7506.74
2015-03-25,352.4,355.05,346.15,349.05,349.05,1074608.0,3757.87
2015-03-24,348.4,355.95,346.35,354.0,354.05,510975.0,1803.77
2015-03-23,356.0,361.95,347.8,348.3,350.35,1973628.0,7012.89
2015-03-20,361.0,361.0,351.0,354.45,353.55,1120247.0,3973.21
2015-03-19,363.35,370.25,359.0,360.6,360.85,1364591.0,4966.31
2015-03-18,355.7,370.95,354.2,365.3,366.3,2937153.0,10735.16
2015-03-17,353.65,357.8,347.4,354.8,355.2,1805559.0,6389.97
2015-03-16,344.25,356.5,340.3,356.0,353.75,1132825.0,3974.41
2015-03-13,354.9,356.0,342.85,345.0,344.2,809109.0,2816.24
2015-03-12,349.2,354.0,346.15,353.5,352.95,1309271.0,4587.77
2015-03-11,342.25,350.0,339.15,348.0,348.7,1390224.0,4817.35
2015-03-10,333.3,345.1,333.3,342.55,341.9,1391166.0,4757.13
2015-03-09,340.0,342.5,335.8,336.7,336.7,786759.0,2660.95
2015-03-05,342.0,345.1,335.0,344.0,342.0,1293268.0,4395.2
2015-03-04,350.15,350.25,340.6,342.5,341.95,835797.0,2875.68
2015-03-03,346.5,349.25,340.75,347.7,347.95,4390082.0,15092.97
2015-03-02,347.6,350.35,340.5,343.95,342.75,3356249.0,11502.05
2015-02-28,349.95,351.3,343.8,345.0,346.45,824785.0,2867.73
2015-02-27,346.0,350.45,342.0,347.15,348.95,5049108.0,17414.27
2015-02-26,347.75,351.8,340.0,345.4,343.1,1938779.0,6663.87
2015-02-25,352.7,353.6,347.1,347.95,348.55,1078737.0,3765.7
2015-02-24,344.6,353.95,343.05,353.15,353.0,1248168.0,4376.51
2015-02-23,358.8,361.4,342.7,342.75,344.6,1306772.0,4567.55
2015-02-20,353.0,360.5,352.0,358.5,358.8,976302.0,3495.32
2015-02-19,358.6,361.45,350.55,353.95,353.4,794228.0,2817.53
2015-02-18,360.3,361.3,352.55,357.4,356.2,1613325.0,5738.57
2015-02-16,365.0,366.0,358.7,361.3,360.3,1061105.0,3843.52
2015-02-13,362.3,367.05,360.25,363.15,363.9,1402208.0,5102.59
2015-02-12,351.0,362.9,350.45,361.0,361.2,5612430.0,19995.1
2015-02-11,351.85,351.85,341.2,345.05,345.5,3085879.0,10622.65
2015-02-10,348.2,353.85,345.95,350.0,350.0,1895192.0,6632.4
2015-02-09,360.0,360.3,348.1,352.05,351.8,1323352.0,4656.99
2015-02-06,359.5,366.75,359.5,361.1,361.55,3206207.0,11634.23
2015-02-05,365.0,367.75,359.15,360.95,360.65,3533904.0,12815.15
2015-02-04,376.0,376.0,362.0,363.0,365.2,1900037.0,6952.5
2015-02-03,372.25,376.3,371.6,373.45,373.1,1032469.0,3861.29
2015-02-02,376.0,376.0,369.1,372.95,371.75,1280710.0,4763.43
2015-01-30,386.0,386.85,373.05,377.5,376.75,1861036.0,7038.11
2015-01-29,388.0,389.95,382.5,384.6,386.05,3507244.0,13533.43
2015-01-28,387.0,391.55,385.15,386.0,387.3,2090303.0,8115.15
2015-01-27,387.6,391.75,384.2,389.7,389.95,1179774.0,4582.72
2015-01-23,394.0,394.4,387.25,391.0,390.75,1321254.0,5160.44
2015-01-22,384.0,390.8,383.5,388.0,389.5,1587469.0,6161.6
2015-01-21,393.0,400.05,376.2,381.6,381.55,7657084.0,29790.34
2015-01-20,384.9,393.2,380.8,390.55,390.7,1263250.0,4897.87
2015-01-19,388.0,389.6,381.05,384.0,384.6,798820.0,3074.16
2015-01-16,369.4,387.8,367.5,386.5,385.85,2633578.0,10028.29
2015-01-15,363.0,370.75,361.0,369.0,369.4,2146779.0,7909.91
2015-01-14,362.0,363.95,358.0,361.0,359.95,1392613.0,5017.59
2015-01-13,362.0,367.5,360.4,361.5,361.75,1761201.0,6424.21
2015-01-12,360.7,362.9,354.05,360.9,360.9,1646430.0,5933.77
2015-01-09,367.5,368.0,357.25,361.0,360.8,1385760.0,5000.71
2015-01-08,366.85,372.0,362.1,364.5,364.5,729084.0,2656.39
2015-01-07,367.9,370.0,360.45,363.9,364.85,1527500.0,5555.87
2015-01-06,377.0,378.45,361.2,369.95,367.9,1443145.0,5343.42
2015-01-05,379.1,381.6,377.1,379.8,380.0,842678.0,3200.43
2015-01-02,378.0,383.5,378.0,379.5,380.95,960337.0,3661.22
2015-01-01,381.0,381.05,377.05,379.0,377.7,321140.0,1214.98
2014-12-31,377.9,382.0,377.0,381.0,380.75,554908.0,2110.62
2014-12-30,380.15,384.5,377.05,379.0,378.6,816744.0,3113.9
2014-12-29,377.0,381.0,377.0,379.6,379.5,467920.0,1776.63
2014-12-26,382.3,382.3,375.8,376.6,376.9,479626.0,1812.5
2014-12-24,381.0,382.5,377.45,381.5,380.55,2202655.0,8378.83
